customer_id,name,city,age
1,Aarav,Delhi,25
2,Diya,Mumbai,31
3,Rohan,Bengaluru,28
4,Meera,Chennai,35
5,Kabir,Hyderabad,22
6,Ishita,Pune,29
7,Arjun,Kolkata,40
8,Anaya,Jaipur,26
9,Vivaan,Lucknow,33
10,Saanvi,Bhopal,24
11,Advik,Surat,37
12,Kiara,Patna,30
13,Reyansh,Nagpur,27
14,Myra,Ranchi,21
15,Atharv,Noida,42
16,Tara,Gurugram,32
17,Dhruv,Indore,23
18,Aadhya,Kochi,36
19,Vihaan,Chandigarh,28
20,Navya,Mysuru,34
21,Ivaan,Raipur,26
22,Riya,Amritsar,39
23,Yuvan,Agra,29
24,Anvi,Vadodara,25
25,Krish,Coimbatore,41
